breederThickness,centralCellLength,firstWallThickness,plantAvailability,annualChargeRate,electricityPrice,tbr,thermalPower,magnetHeating,blanketMass,capitalCost,annualOperatingCost,lcoe,feasible,TritiumSelfSufficiency,MinimumThermalPower,MagnetHeatingLimit,CapitalCostLimit
20.0,4.0,2.0,0.85,0.09,70.0,1.0106067343902425,23.868059043088266,52.37574179878729,44.0,259.70036550305133,23.405149700145635,131.6956068508029,False,False,False,True,True
20.0,8.0,2.0,0.85,0.09,70.0,1.0331236849785226,47.73611808617653,104.75148359757458,88.0,327.73215533678945,29.56012759005308,83.16415386001523,False,False,False,False,True
20.0,12.0,2.0,0.85,0.09,70.0,1.0403044881720651,71.6041771292648,157.12722539636187,132.0,401.1315967586858,36.19819412289477,67.8930805540932,False,False,True,False,True
50.0,4.0,2.0,0.85,0.09,70.0,1.0551271059129546,28.549025075238433,13.39400445002934,110.00000000000001,270.5182013350088,24.35485132367955,114.57006745590418,False,True,False,True,True
50.0,8.0,2.0,0.85,0.09,70.0,1.0918418949143271,57.098050150476865,26.78800890005868,220.00000000000003,371.0364026700176,33.4097026473591,78.58294503871626,True,True,True,True,True
50.0,12.0,2.0,0.85,0.09,70.0,1.103550481877631,85.6470752257153,40.18201335008802,330.00000000000006,471.5546040050265,42.46455397103866,66.58723756632031,True,True,True,True,True
80.0,4.0,2.0,0.85,0.09,70.0,1.070376172595231,30.535499950819137,3.4252375058783353,176.0,303.8275712517635,27.34658176829732,120.2748937216151,False,True,False,True,True
80.0,8.0,2.0,0.85,0.09,70.0,1.111953988954652,61.070999901638274,6.850475011756671,352.0,437.65514250352703,39.393163536594635,86.628899323989,True,True,True,True,True
80.0,12.0,2.0,0.85,0.09,70.0,1.1252134272308831,91.6064998524574,10.275712517635005,528.0,571.4827137552905,51.43974530489196,75.41356785811364,False,True,True,True,False
